"","x"
"1",1918541
"2",2274890
"3",2241196
"4",2672668
"5",3412056
"6",3580868
"7",3306948
"8",4055441
"9",3853391
"10",4489226
"11",4294788
"12",4294120
"13",3630046
"14",2450291
"15",1888275
"16",3346353
