"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"2",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"3",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"4",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"5",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"6",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"7",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"8",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"9",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"10",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"11",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"12",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"13",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"14",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"15",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"16",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"17",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"18",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"19",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"20",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"21",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"22",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"23",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"24",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"25",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"26",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"27",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"28",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"29",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"30",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"31",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"32",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"33",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"34",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"35",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"36",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"37",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"38",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"39",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"40",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"41",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"42",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"43",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"44",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"45",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"46",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"47",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"48",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"49",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"50",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"51",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"52",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"53",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
"54",4693784,5041805,5340656,5723686,6383517,6272475,6633064,7430271,8470259,9799491,8656470,7816306,7441861,8349987,9084729,18674405
