"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"189",1918457,2274751,2240868,2672244,3410375,3579054,3306220,4054529,3852583,4488256,4293550,4292959,3628983,2449591,1887768,3345384
"190",1918457,2274749,2240868,2672243,3410372,3579050,3306217,4054525,3852579,4488252,4293546,4292954,3628979,2449589,1887768,3345383
"191",1918454,2274747,2240866,2672241,3410364,3579043,3306210,4054515,3852575,4488247,4293543,4292950,3628977,2449588,1887766,3345381
"192",1918448,2274742,2240861,2672235,3410364,3579041,3306209,4054513,3852572,4488241,4293538,4292948,3628974,2449586,1887764,3345379
"193",1918447,2274740,2240859,2672233,3410358,3579036,3306207,4054510,3852569,4488237,4293534,4292945,3628972,2449585,1887763,3345378
"194",1918446,2274735,2240858,2672231,3410355,3579034,3306203,4054506,3852567,4488235,4293532,4292941,3628966,2449582,1887763,3345375
"195",1918445,2274733,2240857,2672230,3410352,3579031,3306200,4054504,3852564,4488231,4293531,4292940,3628965,2449582,1887763,3345374
"196",1918445,2274733,2240856,2672228,3410348,3579025,3306197,4054499,3852564,4488229,4293528,4292938,3628964,2449581,1887758,3345368
"197",1918445,2274733,2240853,2672225,3410342,3579021,3306194,4054495,3852560,4488226,4293525,4292935,3628959,2449577,1887756,3345362
"198",1918445,2274732,2240851,2672223,3410331,3579011,3306192,4054493,3852556,4488222,4293519,4292929,3628956,2449573,1887754,3345358
"199",1918445,2274731,2240851,2672221,3410331,3579009,3306189,4054489,3852552,4488217,4293514,4292925,3628948,2449571,1887752,3345353
"200",1918445,2274730,2240851,2672220,3410327,3579002,3306179,4054472,3852536,4488201,4293508,4292919,3628941,2449568,1887751,3345352
"201",1918445,2274730,2240851,2672220,3410324,3578999,3306174,4054466,3852531,4488194,4293499,4292911,3628938,2449564,1887749,3345350
"202",1918445,2274729,2240851,2672219,3410320,3578997,3306165,4054459,3852529,4488190,4293497,4292910,3628936,2449563,1887748,3345346
"203",1918444,2274728,2240850,2672218,3410318,3578995,3306162,4054457,3852524,4488185,4293493,4292906,3628933,2449562,1887747,3345346
"204",1918444,2274728,2240850,2672218,3410316,3578991,3306156,4054449,3852520,4488179,4293491,4292904,3628931,2449560,1887745,3345343
"205",1918444,2274728,2240850,2672218,3410315,3578990,3306154,4054445,3852518,4488177,4293491,4292904,3628927,2449558,1887745,3345343
"206",1918444,2274728,2240850,2672217,3410314,3578988,3306147,4054439,3852515,4488173,4293488,4292902,3628925,2449557,1887742,3345342
"207",1918444,2274728,2240850,2672217,3410314,3578988,3306143,4054436,3852512,4488171,4293484,4292898,3628924,2449555,1887741,3345342
"208",1918443,2274726,2240850,2672217,3410312,3578984,3306140,4054429,3852506,4488167,4293482,4292897,3628923,2449554,1887740,3345341
"209",1918443,2274725,2240850,2672216,3410310,3578982,3306138,4054425,3852505,4488165,4293479,4292895,3628919,2449552,1887739,3345341
"210",1918441,2274724,2240849,2672213,3410305,3578980,3306135,4054423,3852503,4488164,4293477,4292892,3628918,2449551,1887739,3345340
"211",1918440,2274722,2240848,2672210,3410303,3578977,3306133,4054419,3852501,4488162,4293474,4292889,3628915,2449549,1887738,3345340
"212",1918440,2274721,2240845,2672208,3410297,3578971,3306132,4054416,3852499,4488158,4293470,4292885,3628912,2449545,1887736,3345338
"213",1918440,2274721,2240842,2672206,3410295,3578969,3306131,4054415,3852497,4488156,4293469,4292884,3628909,2449544,1887736,3345338
"214",1918440,2274721,2240842,2672205,3410292,3578963,3306129,4054414,3852495,4488156,4293465,4292880,3628902,2449539,1887736,3345338
"215",1918439,2274721,2240842,2672204,3410289,3578959,3306127,4054412,3852494,4488154,4293462,4292877,3628899,2449536,1887736,3345337
"216",1918439,2274720,2240842,2672204,3410287,3578957,3306126,4054409,3852493,4488151,4293460,4292874,3628889,2449531,1887734,3345336
"217",1918438,2274718,2240842,2672204,3410285,3578955,3306125,4054405,3852491,4488148,4293455,4292871,3628885,2449527,1887732,3345334
"218",1918438,2274717,2240839,2672201,3410283,3578953,3306121,4054400,3852486,4488142,4293448,4292866,3628884,2449527,1887730,3345332
"219",1918437,2274716,2240837,2672198,3410279,3578946,3306115,4054394,3852484,4488139,4293443,4292861,3628879,2449525,1887729,3345330
"220",1918436,2274714,2240832,2672192,3410272,3578941,3306106,4054385,3852476,4488129,4293436,4292851,3628870,2449518,1887726,3345324
"221",1918434,2274712,2240826,2672188,3410256,3578927,3306098,4054375,3852466,4488117,4293421,4292835,3628855,2449510,1887720,3345319
"222",1918432,2274710,2240820,2672177,3410239,3578910,3306085,4054362,3852452,4488100,4293393,4292813,3628825,2449491,1887705,3345306
"223",1918430,2274707,2240815,2672171,3410230,3578899,3306073,4054346,3852441,4488089,4293372,4292794,3628798,2449471,1887698,3345292
"224",1918429,2274705,2240805,2672160,3410222,3578887,3306062,4054331,3852429,4488073,4293340,4292758,3628761,2449444,1887684,3345276
"225",1918424,2274697,2240798,2672151,3410205,3578871,3306053,4054316,3852414,4488055,4293313,4292734,3628721,2449416,1887670,3345255
"226",1918418,2274692,2240783,2672134,3410190,3578855,3306039,4054295,3852398,4488041,4293287,4292711,3628690,2449397,1887653,3345232
"227",1918416,2274689,2240774,2672125,3410172,3578834,3306017,4054275,3852377,4488016,4293259,4292679,3628648,2449368,1887632,3345210
